School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/02/2025,30097,Bottled Water (Bottle),6,0,6,10,6,0,6,$0.96,0,0.00%,$0.00,$0.96,4,40.00%,$0.64,$1.60
Aldrin Elementary,5/02/2025,30099,Chickpeas (1/4 cup),33,0,33,45,39,0,39,$3.51,0,0.00%,$0.00,$3.51,6,13.33%,$0.54,$4.05
Aldrin Elementary,5/02/2025,30107,Ranch Dressing (1 ounce),20,0,20,25,20,0,20,$2.20,0,0.00%,$0.00,$2.20,5,20.00%,$0.55,$2.75
Aldrin Elementary,5/02/2025,30109,Smartfood RF White Cheddar Popcorn (Each),0,0,0,25,23,0,23,$8.51,0,0.00%,$0.00,$8.51,2,8.00%,$0.74,$9.25
Aldrin Elementary,5/02/2025,60035,PB&J Power Pack (Power Packs),32,0,32,30,28,0,28,$30.24,0,0.00%,$0.00,$30.24,2,6.67%,$2.16,$32.40
Aldrin Elementary,5/02/2025,60036,Cherry Vanilla Yogurt Power Pack (Power Packs),9,0,9,12,5,0,5,$4.00,0,0.00%,$0.00,$4.00,7,58.33%,$5.60,$9.60
Aldrin Elementary,5/02/2025,60037,Strawberry & Banana Yogurt Power Pack (Power Packs),5,0,5,10,6,0,6,$4.80,0,0.00%,$0.00,$4.80,4,40.00%,$3.20,$8.00
Aldrin Elementary,5/02/2025,60038,Peach Yogurt Power Pack (Power Packs),5,0,5,10,5,0,5,$4.00,0,0.00%,$0.00,$4.00,5,50.00%,$4.00,$8.00
Aldrin Elementary,5/02/2025,60041,Turkey Pepperoni Pizza (Slice),48,0,48,67,62,0,62,$42.16,2,2.99%,$1.36,$43.52,3,4.48%,$2.04,$45.56
Aldrin Elementary,5/02/2025,60077,Manager's Vegetable Choice (1/4 cup),62,0,62,65,60,0,60,$0.00,5,7.69%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Aldrin Elementary,5/02/2025,60080,Cheese Pizza (Slice),152,0,152,135,131,0,131,$74.67,2,1.48%,$1.14,$75.81,2,1.48%,$1.14,$76.95
Aldrin Elementary,5/05/2025,10044,Soft Pretzel (1 pretzel),10,0,10,25,23,0,23,$5.06,0,0.00%,$0.00,$5.06,2,8.00%,$0.44,$5.50
Aldrin Elementary,5/05/2025,20001,1% White Milk (Each),54,0,54,170,53,0,53,$19.08,0,0.00%,$0.00,$19.08,117,68.82%,$42.12,$61.20
Aldrin Elementary,5/05/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,205,147,0,147,$51.45,0,0.00%,$0.00,$51.45,58,28.29%,$20.30,$71.75
Aldrin Elementary,5/05/2025,20008,Apple Slices (3 slices per 1/4 cup),228,0,228,320,315,0,315,$185.85,0,0.00%,$0.00,$185.85,5,1.56%,$2.95,$188.80
Aldrin Elementary,5/05/2025,20016,String Cheese (Each),2,0,2,2,1,0,1,$0.22,0,0.00%,$0.00,$0.22,1,50.00%,$0.22,$0.44
Aldrin Elementary,5/05/2025,20023,Baby Carrots (6 Baby Carrots per 1/2 cup),59,0,59,50,48,0,48,$8.16,0,0.00%,$0.00,$8.16,2,4.00%,$0.34,$8.50
Aldrin Elementary,5/05/2025,20028,Lettuce Blend Salad Mix (1/2 cup),45,0,45,45,42,0,42,$3.36,0,0.00%,$0.00,$3.36,3,6.67%,$0.24,$3.60
Aldrin Elementary,5/05/2025,20038,Fat Free White Milk (Each),30,0,30,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50
Aldrin Elementary,5/05/2025,20052,Assorted  4 oz Yogurt (Container),2,0,2,5,5,0,5,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Aldrin Elementary,5/05/2025,20077,"Peppers, red, pre-sliced (1/2 cup sliced)",20,0,20,20,18,0,18,$10.08,0,0.00%,$0.00,$10.08,2,10.00%,$1.12,$11.20
Aldrin Elementary,5/05/2025,30008,Apple Juice (Each),25,0,25,25,20,0,20,$3.40,0,0.00%,$0.00,$3.40,5,20.00%,$0.85,$4.25
Aldrin Elementary,5/05/2025,30009,Orange Tangerine Juice (Each),12,0,12,5,4,0,4,$0.68,0,0.00%,$0.00,$0.68,1,20.00%,$0.17,$0.85
Aldrin Elementary,5/05/2025,30033,Cheez-Its Crackers (Package),0,0,0,10,6,0,6,$1.08,0,0.00%,$0.00,$1.08,4,40.00%,$0.72,$1.80
Aldrin Elementary,5/05/2025,30039,Cherry Flavored Dried Cranberries (Each),5,0,5,10,8,0,8,$1.92,0,0.00%,$0.00,$1.92,2,20.00%,$0.48,$2.40
Aldrin Elementary,5/05/2025,30044,Strawberry Flavored Dried Cranberries (Each),8,0,8,10,6,0,6,$1.44,0,0.00%,$0.00,$1.44,4,40.00%,$0.96,$2.40
Aldrin Elementary,5/05/2025,30045,Watermelon Flavored Dried Cranberries (Each),8,0,8,10,8,0,8,$1.92,0,0.00%,$0.00,$1.92,2,20.00%,$0.48,$2.40
Aldrin Elementary,5/05/2025,30068,Chilled Peaches (1/2 cup (drained)),22,0,22,20,18,0,18,$9.18,0,0.00%,$0.00,$9.18,2,10.00%,$1.02,$10.20
Aldrin Elementary,5/05/2025,30068,Chilled Peaches (1/4 cup (drained)),129,0,129,136,130,0,130,$32.50,0,0.00%,$0.00,$32.50,6,4.41%,$1.50,$34.00
Aldrin Elementary,5/05/2025,30077,Italian Dressing (1 ounce),17,0,17,20,17,0,17,$1.36,0,0.00%,$0.00,$1.36,3,15.00%,$0.24,$1.60
