School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Armstrong Elementary,5/05/2025,10020,Bagel(Bagel),0,0,0,12,11,0,11,$3.52,1,8.33%,$0.32,$3.84,0,0.00%,$0.00,$3.84,,,,
Armstrong Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),29,0,29,36,30,0,30,$11.70,1,2.78%,$0.39,$12.09,5,13.89%,$1.95,$14.04,,,,
Armstrong Elementary,5/05/2025,20001,1% White Milk(Each),20,0,20,50,17,0,17,$6.12,0,0.00%,$0.00,$6.12,33,66.00%,$11.88,$18.00,,,,
Armstrong Elementary,5/05/2025,20014,Red Delicious Apple(Each - serving),2,0,2,15,15,0,15,$4.95,0,0.00%,$0.00,$4.95,0,0.00%,$0.00,$4.95,,,,
Armstrong Elementary,5/05/2025,20038,Fat Free White Milk(Each),15,0,15,30,26,0,26,$8.58,0,0.00%,$0.00,$8.58,4,13.33%,$1.32,$9.90,,,,
Armstrong Elementary,5/05/2025,30003,Honey Cheerios Cereal(Each),5,0,5,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90,,,,
Armstrong Elementary,5/05/2025,30004,Blueberry Chex Cereal(Each),2,0,2,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90,,,,
Armstrong Elementary,5/05/2025,30006,Cinnamon Chex Cereal(Each),7,0,7,10,6,0,6,$3.54,0,0.00%,$0.00,$3.54,4,40.00%,$2.36,$5.90,,,,
Armstrong Elementary,5/05/2025,30008,Apple Juice(Each),23,0,23,40,27,0,27,$4.59,0,0.00%,$0.00,$4.59,13,32.50%,$2.21,$6.80,,,,
Armstrong Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),24,0,24,40,28,0,28,$4.76,0,0.00%,$0.00,$4.76,12,30.00%,$2.04,$6.80,,,,
Armstrong Elementary,5/05/2025,30051,Natural Grape Jam(Packet),5,0,5,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Armstrong Elementary,5/05/2025,30093,Natural Breakfast Syrup(Each),43,0,43,0,0,0,0,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Armstrong Elementary,5/05/2025,60034,Mandarin Orange Parfait(Parfait),2,0,2,2,2,0,2,$1.98,0,0.00%,$0.00,$1.98,0,0.00%,$0.00,$1.98,,,,
Baileys Lower Elementary,5/05/2025,10020,Bagel(Bagel),0,0,0,116,116,0,116,$37.12,0,0.00%,$0.00,$37.12,0,0.00%,$0.00,$37.12,,,,
Baileys Lower Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),250,0,250,180,162,0,162,$63.18,0,0.00%,$0.00,$63.18,18,10.00%,$7.02,$70.20,,,,
Baileys Lower Elementary,5/05/2025,20001,1% White Milk(Each),349,0,349,329,266,0,266,$95.76,3,0.91%,$1.08,$96.84,60,18.24%,$21.60,$118.44,,,,
Baileys Lower Elementary,5/05/2025,20009,Cream Cheese(Each),0,0,0,116,116,0,116,$33.64,0,0.00%,$0.00,$33.64,0,0.00%,$0.00,$33.64,,,,
Baileys Lower Elementary,5/05/2025,20014,Red Delicious Apple(Each - serving),140,0,140,195,127,0,127,$41.91,0,0.00%,$0.00,$41.91,68,34.87%,$22.44,$64.35,,,,
Baileys Lower Elementary,5/05/2025,20038,Fat Free White Milk(Each),50,0,50,30,18,0,18,$5.94,0,0.00%,$0.00,$5.94,12,40.00%,$3.96,$9.90,,,,
Baileys Lower Elementary,5/05/2025,20043,"Lactose Free, White Milk(Each)",0,0,0,7,7,0,7,$4.06,0,0.00%,$0.00,$4.06,0,0.00%,$0.00,$4.06,,,,
Baileys Lower Elementary,5/05/2025,20047,Orange Slices(3 slices per 1/4 cup),118,0,118,116,116,0,116,$23.20,0,0.00%,$0.00,$23.20,0,0.00%,$0.00,$23.20,,,,
Baileys Lower Elementary,5/05/2025,30003,Honey Cheerios Cereal(Each),36,0,36,120,70,0,70,$41.30,0,0.00%,$0.00,$41.30,50,41.67%,$29.50,$70.80,,,,
Baileys Lower Elementary,5/05/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",36,0,36,74,63,0,63,$37.17,0,0.00%,$0.00,$37.17,11,14.86%,$6.49,$43.66,,,,
Baileys Lower Elementary,5/05/2025,30008,Apple Juice(Each),250,0,250,240,140,0,140,$23.80,0,0.00%,$0.00,$23.80,100,41.67%,$17.00,$40.80,,,,
Baileys Lower Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),250,0,250,240,160,0,160,$27.20,0,0.00%,$0.00,$27.20,80,33.33%,$13.60,$40.80,,,,
Baileys Lower Elementary,5/05/2025,60034,Mandarin Orange Parfait(Parfait),144,0,144,52,51,0,51,$50.49,1,1.92%,$0.99,$51.48,0,0.00%,$0.00,$51.48,,,,
Baileys Upper Elementary,5/05/2025,10023,Blueberry Bread(1oz Grain (1/64 Baked Pan)),0,0,0,35,35,0,35,$14.35,0,0.00%,$0.00,$14.35,0,0.00%,$0.00,$14.35,,,,
Baileys Upper Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),144,0,144,144,114,0,114,$44.46,0,0.00%,$0.00,$44.46,30,20.83%,$11.70,$56.16,,,,
