school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Armstrong Elementary,5/05/2025,60151,Blueberry Bread(1 square),0,0,0,132,132,0,132,$54.12,0,0.00%,$0.00,$54.12,0,0.00%,$0.00,$54.12
Armstrong Elementary,5/05/2025,30097,Bottled Water(Bottle),0,8,8,8,0,8,8,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/05/2025,20027,Broccoli Florets(1/4 cup),0,0,0,57,54,0,54,$4.32,3,5.26%,$0.24,$4.56,0,0.00%,$0.00,$4.56
Armstrong Elementary,5/05/2025,20036,Celery Sticks(1/4 cup),0,0,0,53,49,0,49,$13.23,4,7.55%,$1.08,$14.31,0,0.00%,$0.00,$14.31
Armstrong Elementary,5/05/2025,30039,Cherry Flavored Dried Cranberries(Each),20,0,20,25,23,0,23,$5.52,0,0.00%,$0.00,$5.52,2,8.00%,$0.48,$6.00
Armstrong Elementary,5/05/2025,20011,Cherry Tomatoes(1/4 cup),0,0,0,33,27,0,27,$9.99,6,18.18%,$2.22,$12.21,0,0.00%,$0.00,$12.21
Armstrong Elementary,5/05/2025,60047,Chicken Tenders(3 tenders),111,0,111,127,125,0,125,$117.50,2,1.57%,$1.88,$119.38,0,0.00%,$0.00,$119.38
Armstrong Elementary,5/05/2025,60050,Chickenless Bites(4 Bites),60,0,60,35,32,0,32,$24.32,3,8.57%,$2.28,$26.60,0,0.00%,$0.00,$26.60
Armstrong Elementary,5/05/2025,30099,Chickpeas(1/4 cup),22,0,22,30,27,0,27,$2.43,3,10.00%,$0.27,$2.70,0,0.00%,$0.00,$2.70
Armstrong Elementary,5/05/2025,60101,Chickpeas - salad bar entree(1/2 cup),0,0,0,2,1,0,1,$0.18,1,50.00%,$0.18,$0.36,0,0.00%,$0.00,$0.36
Armstrong Elementary,5/05/2025,20002,Fat Free Chocolate Milk(Each),93,0,93,155,122,5,127,$44.45,0,0.00%,$0.00,$44.45,28,18.06%,$9.80,$54.25
Armstrong Elementary,5/05/2025,20038,Fat Free White Milk(Each),18,0,18,30,17,0,17,$5.61,0,0.00%,$0.00,$5.61,13,43.33%,$4.29,$9.90
Armstrong Elementary,5/05/2025,30077,Italian Dressing(1 ounce),23,0,23,25,21,0,21,$1.68,4,16.00%,$0.32,$2.00,0,0.00%,$0.00,$2.00
Armstrong Elementary,5/05/2025,30063,Ketchup Packet(Packet),0,0,0,100,87,0,87,$2.61,0,0.00%,$0.00,$2.61,13,13.00%,$0.39,$3.00
Armstrong Elementary,5/05/2025,20028,Lettuce Blend Salad Mix(1/2 cup),53,0,53,75,69,0,69,$5.52,6,8.00%,$0.48,$6.00,0,0.00%,$0.00,$6.00
Armstrong Elementary,5/05/2025,30093,Natural Breakfast Syrup(Each),63,0,63,35,35,0,35,$7.00,0,0.00%,$0.00,$7.00,0,0.00%,$0.00,$7.00
