School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Annandale Terrace Elementary,5/23/2025,10044,Soft Pretzel(1 pretzel),0,0,0,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale Terrace Elementary,5/23/2025,10075,Cheese Pizza(Slice),4,0,4,6,6,0,6,$3.42,0,0.00%,$0.00,$3.42,0,0.00%,$0.00,$3.42,,,,
Annandale Terrace Elementary,5/23/2025,20001,1% White Milk(Each),75,0,75,92,72,0,72,$25.92,0,0.00%,$0.00,$25.92,20,21.74%,$7.20,$33.12,,,,
Annandale Terrace Elementary,5/23/2025,20002,Fat Free Chocolate Milk(Each),330,0,330,405,339,0,339,$118.65,0,0.00%,$0.00,$118.65,66,16.30%,$23.10,$141.75,,,,
Annandale Terrace Elementary,5/23/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,230,143,0,143,$84.37,0,0.00%,$0.00,$84.37,87,37.83%,$51.33,$135.70,,,,
Annandale Terrace Elementary,5/23/2025,20011,Cherry Tomatoes(1/4 cup),28,0,28,48,48,0,48,$17.76,0,0.00%,$0.00,$17.76,0,0.00%,$0.00,$17.76,,,,
Annandale Terrace Elementary,5/23/2025,20016,String Cheese(Each),5,0,5,5,5,0,5,$1.10,0,0.00%,$0.00,$1.10,0,0.00%,$0.00,$1.10,,,,
Annandale Terrace Elementary,5/23/2025,20017,Orange(1/4 cup),0,0,0,306,303,0,303,$51.51,0,0.00%,$0.00,$51.51,3,0.98%,$0.51,$52.02,,,,
Annandale Terrace Elementary,5/23/2025,20027,Broccoli Florets(1/4 cup),0,0,0,126,122,0,122,$9.76,0,0.00%,$0.00,$9.76,4,3.17%,$0.32,$10.08,,,,
Annandale Terrace Elementary,5/23/2025,20028,Lettuce Blend Salad Mix(1/2 cup),157,0,157,80,80,0,80,$6.40,0,0.00%,$0.00,$6.40,0,0.00%,$0.00,$6.40,,,,
Annandale Terrace Elementary,5/23/2025,20031,Banana(Each),47,0,47,157,157,0,157,$32.97,0,0.00%,$0.00,$32.97,0,0.00%,$0.00,$32.97,,,,
Annandale Terrace Elementary,5/23/2025,20038,Fat Free White Milk(Each),8,0,8,81,19,0,19,$6.27,0,0.00%,$0.00,$6.27,62,76.54%,$20.46,$26.73,,,,
Annandale Terrace Elementary,5/23/2025,20043,"Lactose Free, White Milk(Each)",0,0,0,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74,,,,
Annandale Terrace Elementary,5/23/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale Terrace Elementary,5/23/2025,30008,Apple Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale Terrace Elementary,5/23/2025,30009,Orange Tangerine Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale Terrace Elementary,5/23/2025,30024,Black Beans(1/2 Cup),59,0,59,58,58,0,58,$9.86,0,0.00%,$0.00,$9.86,0,0.00%,$0.00,$9.86,,,,
Annandale Terrace Elementary,5/23/2025,30033,Cheez-Its Crackers(Package),47,0,47,47,47,0,47,$8.46,0,0.00%,$0.00,$8.46,0,0.00%,$0.00,$8.46,,,,
Annandale Terrace Elementary,5/23/2025,30045,Watermelon Flavored Dried Cranberries(Each),8,0,8,25,3,0,3,$0.72,0,0.00%,$0.00,$0.72,22,88.00%,$5.28,$6.00,,,,
Annandale Terrace Elementary,5/23/2025,30061,Chilled Mandarin Oranges(1/2 cup (drained)),58,0,58,58,58,0,58,$19.72,0,0.00%,$0.00,$19.72,0,0.00%,$0.00,$19.72,,,,
Annandale Terrace Elementary,5/23/2025,30061,Chilled Mandarin Oranges(1/4 cup (drained)),248,0,248,168,165,0,165,$28.05,0,0.00%,$0.00,$28.05,3,1.79%,$0.51,$28.56,,,,
