school,meal_type,food_item,recommended_quantity
baileys upper elementary,Breakfast,Banana (Each),16
baileys upper elementary,Breakfast,String Cheese (1 Stick),16
baileys upper elementary,Breakfast,Natural Breakfast Syrup (Each),11
baileys upper elementary,Breakfast,Natural Grape Jam (Packet),8
baileys upper elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),6
baileys upper elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",6
baileys upper elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),6
baileys upper elementary,Breakfast,Mandarin Orange Parfait (Parfait),6
baileys upper elementary,Breakfast,Orange (6 Slices per 1/2 cup),6
baileys upper elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),5
baileys upper elementary,Breakfast,Strawberry Parfait (Parfait),5
baileys upper elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),5
baileys upper elementary,Breakfast,Blueberry Bread (1 square),4
baileys upper elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),4
baileys upper elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),4
baileys upper elementary,Breakfast,Blueberry Muffin Top (Muffin Top),3
baileys upper elementary,Breakfast,Orange Slices (3 slices per 1/4 cup),3
baileys upper elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",3
baileys upper elementary,Breakfast,Applesauce (1/2 Cup),2
baileys upper elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),2
baileys upper elementary,Breakfast,Golden Delicious Apple (Each),2
baileys upper elementary,Breakfast,"Parfait, Triple Berry (Parfait)",2
baileys upper elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
baileys upper elementary,Breakfast,Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),1
baileys upper elementary,Breakfast,Apple Cinnamon Bread (Grain for entree) (1 square),1
baileys upper elementary,Breakfast,Apple Slices (3 slices per 1/4 cup),1
baileys upper elementary,Breakfast,"Apple, Slices, IW - ER Supper Only (Each)",1
baileys upper elementary,Breakfast,Assorted Craisins (Packet),1
baileys upper elementary,Breakfast,Biscuit (Biscuit),1
baileys upper elementary,Breakfast,Bottled Water (Bottle),1
baileys upper elementary,Breakfast,Chilled Mandarin Oranges (1/2 cup (drained)),1
baileys upper elementary,Breakfast,Chilled Pineapple (1/2 cup),1
baileys upper elementary,Breakfast,Egg and American Cheese on English Muffin (Sandwich),1
baileys upper elementary,Breakfast,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",1
baileys upper elementary,Breakfast,IW Applesauce Cup (Each),1
baileys upper elementary,Breakfast,"Lactose Free, White Milk (Each)",1
baileys upper elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
baileys upper elementary,Breakfast,Mini Maple Waffles (Package),1
baileys upper elementary,Breakfast,Strawberry Flavored Dried Cranberries (2 Eaches),1
baileys upper elementary,Breakfast,Whole Strawberries (1/2 cup thawed),1
beech tree elementary,Breakfast,Apple Juice (Each),99
beech tree elementary,Breakfast,Orange Tangerine Juice (Each),53
beech tree elementary,Breakfast,Mini Maple Pancakes (Package),46
beech tree elementary,Breakfast,1% White Milk (Each),44
beech tree elementary,Breakfast,Bagel (Bagel),22
beech tree elementary,Breakfast,Cream Cheese (Each),17
beech tree elementary,Breakfast,Honey Cheerios Cereal (Each),17
beech tree elementary,Breakfast,Red Delicious Apple (Each - serving),16
beech tree elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",15
beech tree elementary,Breakfast,Cinnamon Chex Cereal (Each),14
beech tree elementary,Breakfast,Blueberry Chex Cereal (Each),12
beech tree elementary,Breakfast,Fat Free White Milk (Each),12
beech tree elementary,Breakfast,Banana (Each),11
beech tree elementary,Breakfast,String Cheese (1 Stick),11
beech tree elementary,Breakfast,Natural Breakfast Syrup (Each),8
beech tree elementary,Breakfast,Natural Grape Jam (Packet),6
beech tree elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),4
beech tree elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",4
beech tree elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),4
beech tree elementary,Breakfast,Mandarin Orange Parfait (Parfait),4
beech tree elementary,Breakfast,Orange (6 Slices per 1/2 cup),4
beech tree elementary,Breakfast,Blueberry Bread (1 square),3
beech tree elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),3
beech tree elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),3
beech tree elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),3
beech tree elementary,Breakfast,Strawberry Parfait (Parfait),3
beech tree elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),3
beech tree elementary,Breakfast,Applesauce (1/2 Cup),2
