school,meal_type,food_item,recommended_quantity
cherry run elementary,Lunch,Fat Free Chocolate Milk (Each),11
cherry run elementary,Lunch,1% White Milk (Each),3
cherry run elementary,Lunch,Fat Free White Milk (Each),1
chesterbrook elementary,Breakfast,1% White Milk (Each),8
chesterbrook elementary,Breakfast,Fat Free White Milk (Each),2
chesterbrook elementary,Lunch,Fat Free Chocolate Milk (Each),7
chesterbrook elementary,Lunch,1% White Milk (Each),2
chesterbrook elementary,Lunch,Fat Free White Milk (Each),1
churchill road elementary,Breakfast,1% White Milk (Each),12
churchill road elementary,Breakfast,Fat Free White Milk (Each),3
churchill road elementary,Lunch,Fat Free Chocolate Milk (Each),12
churchill road elementary,Lunch,1% White Milk (Each),3
churchill road elementary,Lunch,Fat Free White Milk (Each),1
clearview elementary,Breakfast,1% White Milk (Each),90
clearview elementary,Breakfast,Fat Free White Milk (Each),24
clearview elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
clearview elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
clearview elementary,Breakfast,"Lactose Free, White Milk (Each)",1
clearview elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
clearview elementary,Lunch,Fat Free Chocolate Milk (Each),88
clearview elementary,Lunch,1% White Milk (Each),21
clearview elementary,Lunch,Fat Free White Milk (Each),8
clearview elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
clermont elementary,Breakfast,1% White Milk (Each),18
clermont elementary,Breakfast,Fat Free White Milk (Each),5
clermont elementary,Lunch,Fat Free Chocolate Milk (Each),18
clermont elementary,Lunch,1% White Milk (Each),4
clermont elementary,Lunch,Fat Free White Milk (Each),2
coates elementary,Breakfast,1% White Milk (Each),122
coates elementary,Breakfast,Fat Free White Milk (Each),32
coates elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
coates elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
coates elementary,Breakfast,"Lactose Free, White Milk (Each)",1
coates elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
coates elementary,Lunch,Fat Free Chocolate Milk (Each),119
coates elementary,Lunch,1% White Milk (Each),29
coates elementary,Lunch,Fat Free White Milk (Each),10
coates elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
colin powell elementary,Breakfast,1% White Milk (Each),14
colin powell elementary,Breakfast,Fat Free White Milk (Each),4
colin powell elementary,Lunch,Fat Free Chocolate Milk (Each),13
colin powell elementary,Lunch,1% White Milk (Each),3
colin powell elementary,Lunch,Fat Free White Milk (Each),1
columbia elementary,Breakfast,1% White Milk (Each),36
columbia elementary,Breakfast,Fat Free White Milk (Each),9
columbia elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
columbia elementary,Lunch,Fat Free Chocolate Milk (Each),35
columbia elementary,Lunch,1% White Milk (Each),8
columbia elementary,Lunch,Fat Free White Milk (Each),3
colvin run elementary,Breakfast,1% White Milk (Each),4
colvin run elementary,Breakfast,Fat Free White Milk (Each),1
colvin run elementary,Lunch,Fat Free Chocolate Milk (Each),4
colvin run elementary,Lunch,1% White Milk (Each),1
cooper middle,Breakfast,1% White Milk (Each),2
cooper middle,Breakfast,Fat Free White Milk (Each),1
cooper middle,Lunch,Fat Free Chocolate Milk (Each),2
cooper middle,Lunch,1% White Milk (Each),1
