name,served_reimbursable,discarded_total,net_consumption
Steamed Baby Carrots (1/4 cup),318,0.0,318.0
Taco Flavored Hummus (2 Each),317,0.0,317.0
Orange Slices (9 slices per 3/4 cup),306,0.0,306.0
Tex Mex Corn (1/4 cup),327,22.5,304.5
"Nutri-Grain, Blueberry (each)",295,0.0,295.0
Broccoli Florets (Cup),280,2.78,277.22
Natural Grape Jam (Packet),271,0.0,271.0
Assorted Cereal (Cereal Cup),269,0.0,269.0
Tikka Masala Sauce (ounce),282,15.09,266.91
"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",357,94.45,262.55
"Peppers, Green, Whole (1/4 cup)",372,122.69,249.31
Chilled Pineapple (1/2 cup),247,0.0,247.0
"Carrots, IW,   Super Snack (each)",243,0.0,243.0
Cherry Vanilla Yogurt (Container),239,0.0,239.0
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",237,0.0,237.0
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),238,1.35,236.65
"Nutri-Grain, Apple Cinnamon (each)",235,2.94,232.06
Biscuit (Biscuit),229,0.0,229.0
Sweet Thai Chili Chickenless Bites (4 bites),224,0.0,224.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",320,100.0,220.0
"Cheese, Shredded, Cheddar (Cup)",261,43.53,217.47
Steamed Broccoli (1/4 cups),214,7.59,206.41
Fish Filet Potato Encrusted (each),225,25.09,199.91
Grape Tomatoes (2 Tablespoons),198,0.0,198.0
Bean Salad (SUMMER) (1 cup),195,2.5,192.5
Turkey & Cheese & Cracker Power Pack (wrap),189,0.0,189.0
Red Seedless Grapes (24 grapes per 3/4 cup),184,0.0,184.0
"Sauce, Alfredo (2oz Ladle (1/4 cup))",189,5.64,183.36
Mini Maple Waffles (Package),182,0.0,182.0
"Quesadilla, Cheese and Taco Meat (Quesadilla)",174,0.0,174.0
Cucumber Slices (3/4 cup),277,103.26,173.74
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",168,0.0,168.0
"Cucumbers (1/4 cup sliced, 3 slices)",194,27.85,166.15
"Nutri-Grain, Strawberry (each)",166,0.0,166.0
Peach Yogurt (Container),165,0.0,165.0
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",169,5.73,163.27
Strawberry Banana Yogurt (each),156,0.0,156.0
Chicken Parmesan Sandwich (Sandwich),151,0.69,150.31
BBQ Sandwich (Sandwich),235,87.88,147.12
Black Bean and Corn Salad (1/2 cup),145,0.0,145.0
Powerade Mixed Berry Zero (Each),138,0.0,138.0
"Pasta, Penne (Prepared) (1/2 cup cooked)",138,0.0,138.0
Soft Bean Taco on Flour Tortilla (Taco),138,1.33,136.67
"CLPP, Grape Tomatoes (1/4 cup)",137,4.86,132.14
"Chicken, Shredded, Fully Cooked (1/2 cup)",133,2.86,130.14
Blueberry Muffin Top (Muffin Top),126,4.76,121.24
Turkey Barbacoa (#10 scoop),119,0.0,119.0
"Chicken, Drumstick, Roasted (Each Drumstick)",168,57.5,110.5
Blueberry Parfait (Parfait),176,70.0,106.0
Apple Slices (3/4 cup),99,1.67,97.33
BBQ Vegan Burger (Sandwich),215,117.9,97.1
"Pasta, Penne (Prepared) (cup cooked)",91,0.0,91.0
"CLPP, Cucumbers (1 cup)",89,0.0,89.0
Shredded Chicken Wrap (Wrap),99,12.5,86.5
Cheese Sandwich (sandwich),80,0.0,80.0
Turkey Breast Steak (2 Slices),175,100.0,75.0
Chicken & Cheese Nachos (Serving),75,0.0,75.0
Cheese Pizza (slice),74,0.0,74.0
"Salsa, Mild Canned (1/4 cup)",95,22.5,72.5
Chicken & Biscuit Sandwich (Sandwich),63,0.0,63.0
"IZZE, Apple (each)",61,0.0,61.0
"Beef, Meatballs, Pre-Cooked (5 meatballs)",61,2.86,58.14
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",73,20.0,53.0
"Chex Mix, Cheddar - do not use (Package)",53,0.0,53.0
Vanilla Sugar Cookie (Cookie),53,0.0,53.0
"Wrap, Breaded Chicken (Wrap)",51,0.0,51.0
"Pasta, Frozen, Penne (Serving Size)",50,0.0,50.0
Honey Cheerios Cereal (Each),45,0.0,45.0
"Pasta, Macaroni (1 cup cooked)",45,0.0,45.0
Turkey Sausage Breakfast Biscuit (Sandwich),40,0.0,40.0
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),42,2.22,39.78
"Canned Pineapple, Tidbits (1/2 cup (drained))",38,0.0,38.0
Applesauce (3/4 cup),37,0.0,37.0
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",56,20.0,36.0
"IZZE, Strawberry (each)",36,0.0,36.0
"IZZE, Blackberry (each)",35,0.0,35.0
Strawberry Parfait Power Pack w/Egg (Power Pack),35,2.94,32.06
"CLPP, Broccoli Crowns (1/2 cup)",30,0.0,30.0
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",30,0.0,30.0
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",32,6.67,25.33
Powerade Fruit Punch Zero (Each),24,0.0,24.0
Carrot and Celery Sticks (1/4 cup),24,0.0,24.0
Gatorade Zero Glacier Freeze (Each),24,0.0,24.0
"Egg, Hard Boiled, Bulk pouch (Each)",24,0.0,24.0
Hard Boiled Eggs (Each),21,0.0,21.0
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",20,0.0,20.0
Bean Street Tacos on Flour Tortillas (2 Tacos),65,45.59,19.409999999999997
Coke Classic 24/12oz (Each),18,0.0,18.0
Blueberry Chex Cereal (Each),18,0.0,18.0
Make Your Own Nachos (Nacho Kit),17,0.0,17.0
Egg and American Cheese on Biscuit (Sandwich),58,44.29,13.71
Egg and American Cheese on English Muffin (Sandwich),12,0.0,12.0
Sprite 24/12oz (Each),12,0.0,12.0
Diet Coke 24/12oz (Each),12,0.0,12.0
Chickenless Bites Wrap (Wrap),12,0.0,12.0
Cinnamon Chex Cereal (Each),12,0.0,12.0
Vanilla Yogurt (1/2 cup),7,0.0,7.0
Cherry Coke 24/12oz (Each),6,0.0,6.0
"Chicken, Diced (1/2 cup)",6,0.0,6.0
Peach Parfait (Parfait),5,0.0,5.0
Taco Flavored Hummus (each),4,0.0,4.0
Oat Milk (Each),4,0.0,4.0
Egg and American Cheese on Bagel (Sandwich),23,20.0,3.0
"Bar, Lemon Blueberry (Each)",2,0.0,2.0
"Cheese, American, Sliced (3 slices)",2,0.0,2.0
Tortilla Chips (26 chips),1,0.0,1.0
Turkey Barbacoa (1/2 Cup),1,0.0,1.0
Nachos with Black Beans and Cheese Sauce (Serving),2229,2627.55,-398.5500000000002
