school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
timber lane elementary,"$261,897.66","$253,255.00","$8,642.66"
twain middle,"$254,162.47","$289,679.00","$-35,516.53"
union mill elementary,"$160,043.15","$175,221.00","$-15,177.85"
vienna elementary,"$71,302.68","$73,211.00","$-1,908.32"
virginia run elementary,"$231,591.40","$225,399.00","$6,192.40"
wakefield forest elementary,"$134,460.16","$148,116.00","$-13,655.84"
waples mill elementary,"$149,536.22","$167,289.00","$-17,752.78"
washington mill elementary,"$293,249.64","$266,325.00","$26,924.64"
waynewood elementary,"$117,687.51","$122,619.00","$-4,931.49"
west potomac high,"$714,918.63","$685,006.00","$29,912.63"
west springfield elementary,"$133,496.22","$147,512.00","$-14,015.78"
west springfield high,"$536,346.62","$601,143.00","$-64,796.38"
westbriar elementary,"$229,517.52","$260,839.00","$-31,321.48"
westfield hs,"$561,538.84","$589,949.00","$-28,410.16"
westgate elementary,"$184,835.55","$185,783.00",$-947.45
westlawn elementary,"$341,817.83","$321,746.00","$20,071.83"
weyanoke elementary,"$373,454.34","$351,907.00","$21,547.34"
white oaks elementary,"$229,422.70","$240,529.00","$-11,106.30"
whitman middle school,"$425,440.04","$445,223.00","$-19,782.96"
willow springs elementary,"$219,498.97","$234,022.00","$-14,523.03"
wolftrap elementary,"$137,115.88","$157,415.00","$-20,299.12"
woodburn elementary,"$264,095.39","$250,104.00","$13,991.39"
woodlawn elementary,"$215,016.47","$211,207.00","$3,809.47"
woodley hills elementary,"$241,601.89","$232,251.00","$9,350.89"
woodson high,"$618,720.23","$693,222.00","$-74,501.77"
