school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
sangster elementary,"$166,967.48","$185,184.00","$-18,216.52"
saratoga elementary,"$128,400.02","$124,967.00","$3,433.02"
shrevewood elementary,"$124,229.40","$123,436.00",$793.40
silverbrook elementary,"$128,840.40","$144,239.00","$-15,398.60"
sleepy hollow elementary,"$202,041.79","$193,782.00","$8,259.79"
south county hs,"$403,101.02","$453,649.00","$-50,547.98"
south county middle,"$181,828.29","$206,572.00","$-24,743.71"
south lakes high,"$345,396.19","$379,696.00","$-34,299.81"
spring hill elementary,"$208,805.69","$226,227.00","$-17,421.31"
springfield estates elementary,"$104,256.56","$103,452.00",$804.56
stenwood elementary,"$108,395.18","$118,514.00","$-10,118.82"
stone middle,"$130,385.87","$141,180.00","$-10,794.13"
stratford landing elementary,"$115,377.21","$114,618.00",$759.21
sunrise valley elementary,"$109,031.35","$115,735.00","$-6,703.65"
terra centre elementary,"$110,384.09","$118,819.00","$-8,434.91"
terraset elementary,"$126,803.12","$126,128.00",$675.12
thoreau middle,"$180,581.63","$209,662.00","$-29,080.37"
timber lane elementary,"$174,598.44","$168,676.00","$5,922.44"
twain middle,"$169,441.65","$193,100.00","$-23,658.35"
union mill elementary,"$106,695.43","$116,810.00","$-10,114.57"
vienna elementary,"$47,535.12","$49,011.00","$-1,475.88"
virginia run elementary,"$154,394.27","$150,284.00","$4,110.27"
wakefield forest elementary,"$89,640.11","$98,777.00","$-9,136.89"
waples mill elementary,"$99,690.82","$111,455.00","$-11,764.18"
washington mill elementary,"$195,499.76","$177,593.00","$17,906.76"
waynewood elementary,"$78,458.34","$81,911.00","$-3,452.66"
west potomac high,"$476,612.42","$456,581.00","$20,031.42"
west springfield elementary,"$88,997.48","$98,374.00","$-9,376.52"
west springfield high,"$357,564.41","$400,957.00","$-43,392.59"
westbriar elementary,"$153,011.68","$173,772.00","$-20,760.32"
westfield hs,"$374,359.23","$393,431.00","$-19,071.77"
westgate elementary,"$123,223.70","$123,899.00",$-675.30
westlawn elementary,"$227,878.55","$214,620.00","$13,258.55"
weyanoke elementary,"$248,969.56","$234,793.00","$14,176.56"
white oaks elementary,"$152,948.47","$160,358.00","$-7,409.53"
whitman middle school,"$283,626.69","$296,793.00","$-13,166.31"
willow springs elementary,"$146,332.65","$156,070.00","$-9,737.35"
wolftrap elementary,"$91,410.58","$104,645.00","$-13,234.42"
woodburn elementary,"$176,063.59","$166,750.00","$9,313.59"
woodlawn elementary,"$143,344.31","$140,707.00","$2,637.31"
woodley hills elementary,"$161,067.93","$154,641.00","$6,426.93"
woodson high,"$412,480.15","$462,097.00","$-49,616.85"
