school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
west springfield elementary,"$111,246.85","$94,563.24","$16,683.61"
west springfield high,"$446,955.52","$379,914.60","$67,040.92"
westbriar elementary,"$191,264.60","$162,578.98","$28,685.62"
westfield hs,"$467,949.04","$397,761.70","$70,187.33"
westgate elementary,"$154,029.62","$130,932.61","$23,097.01"
westlawn elementary,"$284,848.19","$242,124.18","$42,724.02"
weyanoke elementary,"$311,211.95","$264,534.57","$46,677.37"
white oaks elementary,"$191,185.59","$162,511.36","$28,674.22"
whitman middle school,"$354,533.36","$301,359.79","$53,173.58"
willow springs elementary,"$182,915.81","$155,481.25","$27,434.56"
wolftrap elementary,"$114,263.23","$97,127.36","$17,135.87"
woodburn elementary,"$220,079.49","$187,072.39","$33,007.10"
woodlawn elementary,"$179,180.39","$152,309.76","$26,870.63"
woodley hills elementary,"$201,334.91","$171,139.69","$30,195.22"
woodson high,"$515,600.19","$438,264.38","$77,335.81"
