Food_Name,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Powerade Mixed Berry Zero (Each),0,0,0,0,240,0,0,0,0,0,0,18,0,0,0,80,A La Carte,Snacks For Purchase,Lunch
Powerade Fruit Punch Zero (Each),0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,40,A La Carte,Snacks For Purchase,Lunch
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),171,4,2,24,188,23,2,3,0,12,0,0,0,107,1,254,Main Hot Entree #1,Main,Lunch
Strawberry Parfait Power Pack w/Egg (Power Pack),490,15,2,208,225,76,5,41,32,14,260,31,4,395,3,457,Power Pack,Main,Lunch
"CLPP, Cucumbers (1 cup)",15,0,0,0,2,4,1,2,0,1,105,3,0,16,0,147,Sides,Vegetable,Lunch
Chickenless Bites Wrap (Wrap),391,16,3,10,651,48,6,4,1,21,36,0,0,161,4,630,Main Hot Entree #1,Main,Lunch
Chicken Parmesan Sandwich (Sandwich),459,21,5,45,827,45,6,6,3,26,748,3,7,359,3,286,Main Hot Entree #1,Main,Lunch
Steamed Broccoli (1/4 cups),4,0,0,0,0,1,0,0,0,0,468,15,0,7,0,51,Sides,Vegetable,Lunch
Sweet Thai Chili Chickenless Bites (4 bites),235,6,1,45,837,28,1,11,10,17,0,0,0,15,2,281,Main Hot Entree #1,Main,Lunch
"IZZE, Apple (each)",70,0,0,0,10,15,0,15,0,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
"IZZE, Blackberry (each)",70,0,0,0,10,15,0,14,0,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
"IZZE, Strawberry (each)",70,0,0,0,10,16,0,14,0,0,0,0,0,0,0,0,A La Carte,Snacks For Purchase,Lunch
Gatorade Zero Glacier Freeze (Each),5,0,0,0,270,2,0,0,0,0,0,0,0,0,0,80,A La Carte,Snacks For Purchase,Lunch
Turkey Breast Steak (2 Slices),80,2,1,30,440,0,0,0,0,17,0,0,0,0,0,190,Main Hot Entree #1,Main,Lunch
Turkey Barbacoa (1/2 Cup),99,4,1,55,527,2,0,0,0,14,0,0,0,0,1,14,Main Hot Entree #1,Protein,Lunch
Tortilla Chips (26 chips),277,12,2,0,148,38,2,0,0,4,0,0,0,0,0,119,Plant-Forward Hot Entree,Grain,Lunch
Chicken & Cheese Nachos (Serving),505,21,6,66,925,46,3,5,0,32,0,0,0,186,0,699,Hot Grab & Go #2,Main,Lunch
"Pasta, Frozen, Penne (Serving Size)",250,2,0,0,20,49,6,2,0,9,0,0,0,0,2,290,Plant-Forward Hot Entree,Grain,Lunch
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",120,4,1,0,95,18,2,0,0,2,0,0,0,20,0,40,A La Carte,Grain,Dinner
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",12,0,0,0,27,3,1,2,0,0,4848,1,0,11,0,83,Main Hot Entree #1,Vegetable,Lunch
Vanilla Yogurt (1/2 cup),104,2,1,6,81,17,0,17,0,6,15,1,0,209,0,268,Daily Yogurt Entree,Main,Lunch
