school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Aldrin Elementary,5/20/2025,20001,1% White Milk (Each),45,0,45,70,54,0,54,$19.44,0,0.00%,$0.00,$19.44,16,22.86%,$5.76,$25.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/20/2025,20002,Fat Free Chocolate Milk (Each),140,0,140,155,143,0,143,$50.05,0,0.00%,$0.00,$50.05,12,7.74%,$4.20,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/20/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/21/2025,20001,1% White Milk (Each),45,0,45,70,49,0,49,$17.64,0,0.00%,$0.00,$17.64,21,30.00%,$7.56,$25.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/21/2025,20002,Fat Free Chocolate Milk (Each),140,0,140,155,137,0,137,$47.95,0,0.00%,$0.00,$47.95,18,11.61%,$6.30,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/21/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/22/2025,20001,1% White Milk (Each),45,0,45,70,54,0,54,$19.44,0,0.00%,$0.00,$19.44,16,22.86%,$5.76,$25.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/22/2025,20002,Fat Free Chocolate Milk (Each),140,0,140,150,125,0,125,$43.75,0,0.00%,$0.00,$43.75,25,16.67%,$8.75,$52.50,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/22/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/23/2025,20001,1% White Milk (Each),45,0,45,72,56,0,56,$20.16,0,0.00%,$0.00,$20.16,16,22.22%,$5.76,$25.92,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
