school_name,name,left_over_total,offered_reimbursable,leftover_rate
Baileys Lower Elementary,Celery Sticks (1/2 cup),0,96,0.0
Baileys Lower Elementary,Chana Masala (1/2 cup),0,20,0.0
Baileys Lower Elementary,Cheese Pizza (Slice),0,1138,0.0
Baileys Lower Elementary,Cheeseburger (Sandwich),0,315,0.0
Baileys Lower Elementary,Cheez-Its Crackers (Package),0,810,0.0
Baileys Lower Elementary,"Chicken, Bites (4 Bites)",0,140,0.0
Baileys Lower Elementary,Chickenless Bites (2 Bites),0,684,0.0
Baileys Lower Elementary,Chickenless Bites (4 Bites),0,216,0.0
Baileys Lower Elementary,Chickpeas - salad bar entree (1/2 cup),0,33,0.0
Baileys Lower Elementary,Chilled Mandarin Oranges (1/2 cup (drained)),0,814,0.0
Baileys Lower Elementary,Chilled Peaches (1/2 cup (drained)),0,547,0.0
Baileys Lower Elementary,Cooked  Brown Rice (1 cup cooked),0,325,0.0
Baileys Lower Elementary,Corn (1/2 cup (cooked)),0,385,0.0
Baileys Lower Elementary,Cucumber Slices (1/2 cup),0,51,0.0
Baileys Lower Elementary,Cucumber Slices (6 Slices per 1/2 cup),0,174,0.0
Baileys Lower Elementary,Graham Crackers (Package),0,883,0.0
Baileys Lower Elementary,Hamburger (Sandwich),0,161,0.0
Baileys Lower Elementary,Hot Turkey & Cheese (sandwich),0,75,0.0
Baileys Lower Elementary,IW Applesauce Cup (Each),0,565,0.0
Baileys Lower Elementary,"Lactose Free, White Milk (Each)",0,130,0.0
Baileys Lower Elementary,Lettuce Blend Salad Mix (1 cup),0,681,0.0
Baileys Lower Elementary,"Lettuce, Green Salad Mix (1 cup)",0,136,0.0
Baileys Lower Elementary,Mandarin Orange Pepper Fruit Salsa (1 TBSP),0,40,0.0
Baileys Lower Elementary,Marinara Sauce (1/2 cup),0,87,0.0
Baileys Lower Elementary,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",0,54,0.0
Baileys Lower Elementary,Nachos with Black Beans and Cheese Sauce (Serving),0,10,0.0
Baileys Lower Elementary,Nachos with Turkey Barbacoa and Cheese Sauce (Serving),0,202,0.0
Baileys Lower Elementary,Orange Chicken (4 Bites w/ 1oz sauce),0,540,0.0
Baileys Lower Elementary,Orange Chickenless Bites (4 bites),0,210,0.0
Baileys Lower Elementary,Orange Sauce (ounce),0,85,0.0
Baileys Lower Elementary,Orange Slices (6 Slices per 1/2 cup),0,428,0.0
Baileys Lower Elementary,"Parfait, Triple Berry (Parfait)",0,53,0.0
Baileys Lower Elementary,"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",0,48,0.0
Baileys Lower Elementary,"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",0,277,0.0
Baileys Lower Elementary,"Peppers, red, pre-sliced (1/2 cup sliced)",0,276,0.0
Baileys Lower Elementary,Pineapple Pepper Fruit Salsa (1 TBSP),0,80,0.0
Baileys Lower Elementary,Potato Wedges (4 pieces),0,138,0.0
Baileys Lower Elementary,Red Seedless Grapes (16 grapes per 1/2 cup),0,1836,0.0
Baileys Lower Elementary,Roasted Plantains (3 Slices),0,51,0.0
Baileys Lower Elementary,Roasted Plantains (6 Slices),0,325,0.0
Baileys Lower Elementary,"Salsa, Mild Canned (1.5 oz)",0,141,0.0
Baileys Lower Elementary,"Sandwich, Turkey & Cheese (sandwich)",0,214,0.0
Baileys Lower Elementary,Soft Pretzel (1 pretzel),0,43,0.0
Baileys Lower Elementary,Steamed Baby Carrots (1/2 cup),0,493,0.0
Baileys Lower Elementary,Steamed Broccoli (1/2 cup),0,325,0.0
Baileys Lower Elementary,Strawberry Parfait Power Pack (Power Pack),0,17,0.0
Baileys Lower Elementary,String Cheese (1 Stick),0,81,0.0
Baileys Lower Elementary,"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",0,120,0.0
Baileys Lower Elementary,Tex Mex Corn (1/2 cup),0,255,0.0
Baileys Lower Elementary,Turkey Pepperoni Pizza (Slice),0,2071,0.0
Baileys Lower Elementary,Vegan Burger (Sandwich),0,9,0.0
Baileys Lower Elementary,Vegetable Dumpling (6 dumplings),0,233,0.0
Baileys Lower Elementary,Whole Wheat Dinner Roll (Each),0,191,0.0
Baileys Upper Elementary,Mustard Packet (Packet),550,700,78.57142857142857
Baileys Upper Elementary,1% White Milk (Each),1975,3618,54.58817025981205
Baileys Upper Elementary,Black Beans (1/2 Cup),33,66,50.0
Baileys Upper Elementary,String Cheese (1 Stick),1,2,50.0
Baileys Upper Elementary,Mayonnaise Packet (Packet),770,1700,45.294117647058826
Baileys Upper Elementary,Fat Free White Milk (Each),527,1173,44.927536231884055
Baileys Upper Elementary,Apple Juice (Each),3,7,42.857142857142854
Baileys Upper Elementary,Strawberry Chex Mix (Package),9,22,40.909090909090914
Baileys Upper Elementary,Strawberry Flavored Dried Cranberries (2 Eaches),611,1495,40.869565217391305
Baileys Upper Elementary,Soft Pretzel (1 pretzel),28,69,40.57971014492754
