Item Name,Leftover Rate (%),Total Left Over,Total Offered
Apple Slices (3 slices per 1/4 cup),4.56,16155.0,353987
Breaded  Chicken Patty on a Bun (Sandwich),4.55,89.0,1957
Applesauce (1/2 Cup),4.51,766.0,16972
Cheese Pizza (Slice),4.5,8753.0,194431
Broccoli Alfredo Pasta (1 cup),4.5,73.0,1622
"Green Beans, Frozen (1/2 cup)",4.49,91.0,2028
Creamy Cabbage Slaw (1/4 cup),4.46,51.0,1144
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),4.44,2.0,45
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),4.4,11.0,250
Orange Chicken (4 Bites w/ 1oz sauce),4.38,1519.0,34652
Korean Chicken Drumstick (Drumstick),4.37,30.0,686
"Chicken, Wings, Pre-Cooked (3 Wings)",4.35,71.0,1631
Chicken Tenders (3 tenders),4.32,10506.0,243335
Lettuce Blend Salad Mix (1/2 cup),4.32,27642.0,640565
Chocolate Chip Cookie (Cookie),4.27,8950.0,209456
Chilled Mandarin Oranges (1/4 cup (drained)),4.09,2951.0,72233
Vanilla Sugar Cookie (1/2 Cookie),4.04,48.0,1189
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",3.99,945.0,23692
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",3.87,7.0,181
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",3.82,24.0,628
Potato Wedges (7 pieces),3.7,1990.0,53794
"Chicken, Bites (4 Bites)",3.68,119.0,3236
Nachos with Cheese Sauce (Serving),3.64,1619.0,44515
Steamed Baby Carrots (1/4 cup),3.64,12.0,330
"Calzone, Cheese (Each)",3.5,29.0,829
"Nutri-Grain, Strawberry (each)",3.49,6.0,172
Potato Wedges (4 pieces),3.48,450.0,12931
Whole Strawberries (1/2 cup thawed),3.39,945.0,27861
Lettuce Blend Salad Mix (1 cup),3.26,777.0,23829
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",3.22,39.0,1212
Sweet N' Salty Popcorn (Bag),3.0,25.0,834
Bagel (Bagel),2.95,10.0,339
Mac & Cheese (2/3 cup),2.9,16.0,551
Turkey Breast Steak (2 Slices),2.85,7.0,246
Apple Slices (6 Slices per 1/2 cup),2.65,643.0,24251
"Chicken, Bites, Breaded (4 Bites)",2.65,30.0,1133
"Canned Pineapple, Tidbits (1/2 cup (drained))",2.56,1.0,39
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",2.55,80.0,3141
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",2.46,17.0,692
BBQ Sandwich (Sandwich),2.38,6.0,252
"Apple Slices (6 Slices, 1/2 cup)",2.32,36.0,1555
"Frozen, Blueberries (1/2 cup)",2.27,53.0,2331
Whole Wheat Sliced Bread (Slice),2.27,11.0,484
"Pasta, Lasagna Roll-Up, Cheese (Each)",2.24,14.0,626
Chicken Tenders Sub (Sandwich),2.13,35.0,1647
Pumpkin Bread (1 square),2.0,20.0,1002
Nachos with Cheese Sauce (serving size),1.99,15.0,753
Fresh Whole Pear (Each),1.98,85.0,4303
Korean BBQ Chickenless Bites (4 bites),1.97,11.0,557
Chicken Philly Sandwich (each),1.87,19.0,1014
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),1.66,8.0,481
Turkey Barbacoa (#10 scoop),1.65,2.0,121
Tikka Masala Sauce (ounce),1.65,5.0,303
Apple Cinnamon Bread (Grain for entree) (1 square),1.65,40.0,2430
Assorted Whole Fruit (Piece of Fruit),1.55,7.0,451
"Chicken, Shredded, Fully Cooked (1/2 cup)",1.47,2.0,136
IW Applesauce Cup (Each),1.19,244.0,20438
"Lettuce, Green Salad Mix (1 cup)",1.18,15.0,1269
Graham Crackers (Package),1.12,224.0,19933
Steamed Baby Carrots (1/2 cup),1.12,152.0,13546
"CLPP, Cucumbers (1 cup)",1.11,1.0,90
Cucumber Slices (1/2 cup),1.03,13.0,1267
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0.93,3.0,324
"Cheese, Shredded, Mozzarella (1/4 cup)",0.74,4.0,544
Pineapple Pepper Fruit Salsa (1 TBSP),0.69,9.0,1310
"Bread, Hamburger Bun (Bun)",0.63,3.0,477
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",0.59,1.0,169
Tortilla Chips (13 chips),0.42,2.0,476
Maple Belgian Waffle (Waffle),0.26,3.0,1138
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",0.19,2.0,1068
Chicken & Biscuit Sandwich (Sandwich),0.0,0.0,63
Powerade Fruit Punch Zero (Each),0.0,0.0,24
Turkey & Cheese & Cracker Power Pack (wrap),0.0,0.0,189
Orange Slices (9 slices per 3/4 cup),0.0,0.0,306
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",0.0,0.0,237
Turkey Barbacoa (1/2 Cup),0.0,0.0,1
Applesauce (3/4 cup),0.0,0.0,37
Cheese Sandwich (sandwich),0.0,0.0,80
"Chicken, Drumstick, Roasted (Each Drumstick)",0.0,0.0,175
"Chicken, Diced (1/2 cup)",0.0,0.0,6
Powerade Mixed Berry Zero (Each),0.0,0.0,138
Turkey Sausage Breakfast Biscuit (Sandwich),0.0,0.0,40
"IZZE, Strawberry (each)",0.0,0.0,36
Vanilla Sugar Cookie (Cookie),0.0,0.0,53
Cherry Coke 24/12oz (Each),0.0,0.0,6
Vanilla Yogurt (1/2 cup),0.0,0.0,7
"Cheese, American, Sliced (3 slices)",0.0,0.0,2
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",0.0,0.0,30
Apple Slices (3/4 cup),0.0,0.0,100
"Wrap, Breaded Chicken (Wrap)",0.0,0.0,51
"IZZE, Apple (each)",0.0,0.0,61
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",0.0,0.0,549
Apple Cinnamon Spread (Each),0.0,0.0,2655
"Pasta, Penne (Prepared) (1/2 cup cooked)",0.0,0.0,138
Hard Boiled Eggs (Each),0.0,0.0,21
Gatorade Zero Glacier Freeze (Each),0.0,0.0,24
"Pasta, Macaroni (1 cup cooked)",0.0,0.0,45
Carrot and Celery Sticks (1/4 cup),0.0,0.0,24
Blueberry Muffin Top (Muffin Top),0.0,0.0,128
Tortilla Chips (26 chips),0.0,0.0,1
"Salsa, Mild Canned (1/4 cup)",0.0,0.0,104
Soft Beef Taco on Flour Tortilla (Taco),0.0,0.0,429
Black Bean and Corn Salad (1/2 cup),0.0,0.0,145
Sprite 24/12oz (Each),0.0,0.0,12
Shredded Chicken Wrap (Wrap),0.0,0.0,106
Peach Parfait (Parfait),0.0,0.0,5
Beef Meatballs (Serving),0.0,0.0,356
Cucumber Slices (3/4 cup),0.0,0.0,326
Bean Salad (SUMMER) (1 cup),0.0,0.0,200
Coke Classic 24/12oz (Each),0.0,0.0,18
"Bar, Lemon Blueberry (Each)",0.0,0.0,2
Diet Coke 24/12oz (Each),0.0,0.0,12
Strawberry Parfait Power Pack w/Egg (Power Pack),0.0,0.0,36
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",0.0,0.0,20
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",0.0,0.0,33
Oat Milk (Each),0.0,0.0,4
Blueberry Chex Cereal (Each),0.0,0.0,18
Egg and American Cheese on Bagel (Sandwich),0.0,0.0,24
Egg and American Cheese on Biscuit (Sandwich),0.0,0.0,62
Make Your Own Nachos (Nacho Kit),0.0,0.0,17
Broccoli Florets (Cup),0.0,0.0,288
"CLPP, Broccoli Crowns (1/2 cup)",0.0,0.0,30
Taco Flavored Hummus (each),0.0,0.0,4
"CLPP, Grape Tomatoes (1/4 cup)",0.0,0.0,144
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",0.0,0.0,70
Cinnamon Chex Cereal (Each),0.0,0.0,12
Assorted Cereal (Cereal Cup),0.0,0.0,269
Red Seedless Grapes (24 grapes per 3/4 cup),0.0,0.0,184
Chickenless Bites Wrap (Wrap),0.0,0.0,12
"Egg, Hard Boiled, Bulk pouch (Each)",0.0,0.0,24
Fish Filet Potato Encrusted (each),0.0,0.0,234
"IZZE, Blackberry (each)",0.0,0.0,35
