School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable.1,Non-Reimbursable.1,Total.1,Cost,Total.2,Percent of Offered,Cost.1,Total.3,Percent of Offered.1,Cost.2
Fairview Elementary,5/16/2025,30051,Natural Grape Jam(Packet),0,0,0,10,4,0,4,$0.36,0,0.00%,$0.00,$0.36,6,60.00%,$0.54,$0.90,,,,
Fairview Elementary,5/16/2025,30093,Natural Breakfast Syrup(Each),0,0,0,36,33,3,36,$7.20,0,0.00%,$0.00,$7.20,0,0.00%,$0.00,$7.20,,,,
Fairview Elementary,5/16/2025,60096,Strawberry Parfait(Parfait),0,0,0,3,2,1,3,$2.97,0,0.00%,$0.00,$2.97,0,0.00%,$0.00,$2.97,,,,
Fairview Elementary,5/16/2025,60125,Egg and American Cheese on Biscuit(Sandwich),0,0,0,16,5,1,6,$2.82,0,0.00%,$0.00,$2.82,10,62.50%,$4.70,$7.52,,,,
Fairview Elementary,5/16/2025,60151,Blueberry Bread(1 square),25,0,25,12,8,0,8,$3.28,0,0.00%,$0.00,$3.28,4,33.33%,$1.64,$4.92,,,,
Fairview Elementary,5/19/2025,10020,Bagel(Bagel),60,0,60,68,59,3,62,$19.84,3,4.41%,$0.96,$20.80,3,4.41%,$0.96,$21.76,,,,
Fairview Elementary,5/19/2025,20001,1% White Milk(Each),12,0,12,16,9,1,10,$3.60,0,0.00%,$0.00,$3.60,6,37.50%,$2.16,$5.76,,,,
Fairview Elementary,5/19/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,8,6,0,6,$3.54,0,0.00%,$0.00,$3.54,2,25.00%,$1.18,$4.72,,,,
Fairview Elementary,5/19/2025,20009,Cream Cheese(Each),60,0,60,50,42,3,45,$13.05,0,0.00%,$0.00,$13.05,5,10.00%,$1.45,$14.50,,,,
Fairview Elementary,5/19/2025,20038,Fat Free White Milk(Each),12,0,12,12,5,0,5,$1.65,0,0.00%,$0.00,$1.65,7,58.33%,$2.31,$3.96,,,,
Fairview Elementary,5/19/2025,30003,Honey Cheerios Cereal(Each),12,0,12,15,14,1,15,$8.85,0,0.00%,$0.00,$8.85,0,0.00%,$0.00,$8.85,,,,
Fairview Elementary,5/19/2025,30004,Blueberry Chex Cereal(Each),12,0,12,17,17,0,17,$10.03,0,0.00%,$0.00,$10.03,0,0.00%,$0.00,$10.03,,,,
Fairview Elementary,5/19/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",12,0,12,6,6,0,6,$3.54,0,0.00%,$0.00,$3.54,0,0.00%,$0.00,$3.54,,,,
Fairview Elementary,5/19/2025,30008,Apple Juice(Each),65,0,65,80,50,30,80,$13.60,0,0.00%,$0.00,$13.60,0,0.00%,$0.00,$13.60,,,,
Fairview Elementary,5/19/2025,30009,Orange Tangerine Juice(Each),65,0,65,60,43,17,60,$10.20,0,0.00%,$0.00,$10.20,0,0.00%,$0.00,$10.20,,,,
Fairview Elementary,5/19/2025,30051,Natural Grape Jam(Packet),5,0,5,10,9,1,10,$0.90,0,0.00%,$0.00,$0.90,0,0.00%,$0.00,$0.90,,,,
Fairview Elementary,5/19/2025,60096,Strawberry Parfait(Parfait),0,0,0,1,0,1,1,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Fairview Elementary,5/20/2025,10020,Bagel(Bagel),0,0,0,70,57,8,65,$20.80,0,0.00%,$0.00,$20.80,5,7.14%,$1.60,$22.40,,,,
Fairview Elementary,5/20/2025,20001,1% White Milk(Each),12,0,12,12,11,1,12,$4.32,0,0.00%,$0.00,$4.32,0,0.00%,$0.00,$4.32,,,,
Fairview Elementary,5/20/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,9,8,0,8,$4.72,0,0.00%,$0.00,$4.72,1,11.11%,$0.59,$5.31,,,,
Fairview Elementary,5/20/2025,20009,Cream Cheese(Each),0,0,0,51,43,8,51,$14.79,0,0.00%,$0.00,$14.79,0,0.00%,$0.00,$14.79,,,,
Fairview Elementary,5/20/2025,20038,Fat Free White Milk(Each),12,0,12,12,8,0,8,$2.64,0,0.00%,$0.00,$2.64,4,33.33%,$1.32,$3.96,,,,
Fairview Elementary,5/20/2025,30004,Blueberry Chex Cereal(Each),13,0,13,13,13,0,13,$7.67,0,0.00%,$0.00,$7.67,0,0.00%,$0.00,$7.67,,,,
Fairview Elementary,5/20/2025,30006,Cinnamon Chex Cereal(Each),12,0,12,13,13,0,13,$7.67,0,0.00%,$0.00,$7.67,0,0.00%,$0.00,$7.67,,,,
Fairview Elementary,5/20/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",14,0,14,13,13,0,13,$7.67,0,0.00%,$0.00,$7.67,0,0.00%,$0.00,$7.67,,,,
Fairview Elementary,5/20/2025,30008,Apple Juice(Each),65,0,65,67,51,16,67,$11.39,0,0.00%,$0.00,$11.39,0,0.00%,$0.00,$11.39,,,,
Fairview Elementary,5/20/2025,30009,Orange Tangerine Juice(Each),65,0,65,67,52,15,67,$11.39,0,0.00%,$0.00,$11.39,0,0.00%,$0.00,$11.39,,,,
Fairview Elementary,5/20/2025,30051,Natural Grape Jam(Packet),5,0,5,26,14,2,16,$1.44,0,0.00%,$0.00,$1.44,10,38.46%,$0.90,$2.34,,,,
Fairview Elementary,5/20/2025,60011,Turkey Sausage Breakfast Biscuit(Sandwich),20,0,20,20,17,2,19,$8.36,0,0.00%,$0.00,$8.36,1,5.00%,$0.44,$8.80,,,,
Fairview Elementary,5/20/2025,60068,Biscuit(Biscuit),1,0,1,1,0,0,0,$0.00,0,0.00%,$0.00,$0.00,1,100.00%,$0.00,$0.00,,,,
Fairview Elementary,5/20/2025,60096,Strawberry Parfait(Parfait),4,0,4,3,3,0,3,$2.97,0,0.00%,$0.00,$2.97,0,0.00%,$0.00,$2.97,,,,
Fairview Elementary,5/21/2025,10020,Bagel(Bagel),0,0,0,55,45,7,52,$16.64,0,0.00%,$0.00,$16.64,3,5.45%,$0.96,$17.60,,,,
Fairview Elementary,5/21/2025,10096,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",15,0,15,12,9,2,11,$4.51,0,0.00%,$0.00,$4.51,1,8.33%,$0.41,$4.92,,,,
Fairview Elementary,5/21/2025,20001,1% White Milk(Each),12,0,12,12,8,1,9,$3.24,0,0.00%,$0.00,$3.24,3,25.00%,$1.08,$4.32,,,,
Fairview Elementary,5/21/2025,20009,Cream Cheese(Each),0,0,0,50,43,7,50,$14.50,0,0.00%,$0.00,$14.50,0,0.00%,$0.00,$14.50,,,,
Fairview Elementary,5/21/2025,20016,String Cheese(1 Stick),15,0,15,12,9,2,11,$2.42,0,0.00%,$0.00,$2.42,1,8.33%,$0.22,$2.64,,,,
Fairview Elementary,5/21/2025,20031,Banana(Each),5,0,5,12,9,0,9,$1.89,0,0.00%,$0.00,$1.89,3,25.00%,$0.63,$2.52,,,,
