Item Name,Net Consumption,Total Served,Total Discarded
"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",480.0,480,0.0
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",473.42,529,55.58
Tortilla Chips (13 chips),470.33,472,1.67
Whole Wheat Sliced Bread (Slice),465.73,468,2.27
"Pasta, Baked Penne (1 cup)",455.52,482,26.48
Chicken Eggroll (2 Egg Rolls),448.83000000000004,577,128.17
Chilled Pineapple (1/4 cup),446.83,451,4.17
"Cheese, Shredded, Mozzarella (1/4 cup)",445.62,513,67.38
"CLPP, Grape Tomatoes (1/2 cup)",445.0,445,0.0
Assorted Whole Fruit (Piece of Fruit),444.0,444,0.0
Strawberry Parfait (Parfait),436.01,585,148.99
"Bread, Hamburger Bun (Bun)",412.0,462,50.0
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),410.48,469,58.52
"Cheese Sauce, Frozen, Nacho (1/2 cup)",399.40999999999997,468,68.59
Turkey & Cheese on Sub Roll (sandwich),397.26,513,115.74000000000001
Soft Beef Taco on Flour Tortilla (Taco),374.52,410,35.480000000000004
Granola (1/4 cup),363.0,363,0.0
Mandarin Orange Parfait (Parfait),362.58,425,62.42
String Cheese (1 Stick),344.0,344,0.0
"Milk, Soy, Vanilla (24/8 oz) (each)",340.0,340,0.0
Triple Berry Parfait Power Pack (Power Pack),335.36,346,10.64
Beef Meatballs (Serving),333.21,351,17.79
Bagel (Bagel),329.0,329,0.0
"Patty, Chicken, Breaded, WG (Serving)",320.84,322,1.16
Steamed Baby Carrots (1/4 cup),318.0,318,0.0
Taco Flavored Hummus (2 Each),317.0,317,0.0
Orange Slices (9 slices per 3/4 cup),306.0,306,0.0
Tex Mex Corn (1/4 cup),304.5,327,22.5
"Nutri-Grain, Blueberry (each)",295.0,295,0.0
Broccoli Florets (Cup),277.22,280,2.78
Natural Grape Jam (Packet),271.0,271,0.0
Assorted Cereal (Cereal Cup),269.0,269,0.0
Tikka Masala Sauce (ounce),266.91,282,15.09
"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",262.55,357,94.45
"Peppers, Green, Whole (1/4 cup)",249.31,372,122.69
Chilled Pineapple (1/2 cup),247.0,247,0.0
"Carrots, IW,   Super Snack (each)",243.0,243,0.0
Cherry Vanilla Yogurt (Container),239.0,239,0.0
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",237.0,237,0.0
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),236.65,238,1.35
"Nutri-Grain, Apple Cinnamon (each)",232.06,235,2.94
Biscuit (Biscuit),229.0,229,0.0
