identifier,name,unit_cost
30111,Doritos RF Spicy Sweet Chili (Each),0.29
30094,Doritos Wild White Nacho Flavored Tortilla Chips (Bag),0.21
10095,"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",0.1
60165,Egg and American Cheese on Bagel (Sandwich),0.56
60179,Egg and American Cheese on Bagel(Sandwich),0.38
60182,Egg and American Cheese on Bagel(Sandwich),0.64
60125,Egg and American Cheese on Biscuit (Sandwich),0.46
60004,Egg and American Cheese on English Muffin (Sandwich),0.51
20053,"Egg, Hard Boiled, Bulk pouch (Each)",0.28
20002,Fat Free Chocolate Milk (Each),0.35
30108,Fat Free Unflavored Shelf-Stable Milk (Each),0.38
20038,Fat Free White Milk (Each),0.33
60155,Fish  Sandwich (Sandwich),0.7
10107,Fish Filet Potato Encrusted (each),1.06
sys-16,Fish Tacos(2 Tacos),1.43
60999,Fish Tacos (2 Tacos),1.01
10048,Flour Tortilla (Tortilla),0.17
20010,Fresh Whole Pear (Each),0.56
10074,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",0.03
10074,"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",0.01
10006,"Frozen, Blueberries (1/2 cup)",0.4
30124,"Fruit Snacks, Welch's Mixed (Each)",0.32
20013,Gala Apple (Each),0.37
30149,Gatorade Zero Glacier Freeze (Each),0.85
20015,Golden Delicious Apple (Each),0.31
30034,Graham Crackers (Package),0.14
30046,Granola (1/4 cup),0.23
20012,Grape Tomatoes (1/4 cup),0.26
20012,Grape Tomatoes (2 Tablespoons),0.1
20012,Grape Tomatoes (6 Tomatoes per 1/2 cup),0.52
10099,"Green Beans, Frozen (1/2 cup)",0.28
60040,Grilled Cheese Sandwich (Sandwich),0.42
60060,Hamburger (Sandwich),0.67
20020,Hard Boiled Eggs (Each),0.23
30003,Honey Cheerios Cereal (Each),0.59
60149,Hot Turkey & Cheese (sandwich),1.3
30037,IW Applesauce Cup (Each),0.27
30073,IW Heartzels Pretzels (Package),0.3
30191,"IZZE, Apple (each)",0.7
30192,"IZZE, Blackberry (each)",0.7
30194,"IZZE, Strawberry (each)",0.7
30077,Italian Dressing (1 ounce),0.08
30121,Kellogg's W/G Rice Krispies Treats (Each),0.45
30063,Ketchup Packet (Packet),0.03
30118,Kettle Cooked Smoky BBQ Chips (Each),0.5
60058,Korean BBQ Chickenless Bites (4 bites),0.88
60017,Korean Chicken Drumstick (Drumstick),1.17
20043,"Lactose Free, White Milk (Each)",0.55
30160,Lay's RF Kettle Original Chips (Each),0.52
20028,Lettuce Blend Salad Mix (1 cup),0.16
