school_name,name,total_offered,total_left_over,net_consumption_rate
Belvedere Elementary,Strawberry Parfait (Parfait),90,45,50.0
Belvedere Elementary,Mandarin Orange Parfait (Parfait),165,87,47.27272727272727
Belvedere Elementary,Egg and American Cheese on English Muffin (Sandwich),49,29,40.816326530612244
Belvedere Elementary,Egg and American Cheese on Biscuit (Sandwich),45,28,37.77777777777778
Belvedere Elementary,Assorted  4 oz Yogurt (Container),16,10,37.5
Belvedere Elementary,Granola (1/4 cup),16,10,37.5
Belvedere Elementary,Chicken & Biscuit Sandwich (Sandwich),7,6,14.285714285714285
Belvedere Elementary,"Apple Slices (3 slices, 1/4 cup)",42,42,0.0
Bonnie Brae Elementary,Applesauce (1/2 Cup),100,0,100.0
Bonnie Brae Elementary,"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",35,0,100.0
Bonnie Brae Elementary,Bagel (Bagel),326,0,100.0
Bonnie Brae Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",84,0,100.0
Bonnie Brae Elementary,Biscuit (Biscuit),27,0,100.0
Bonnie Brae Elementary,Blueberry Muffin Top (Muffin Top),30,0,100.0
Bonnie Brae Elementary,Chicken & Biscuit Sandwich (Sandwich),70,0,100.0
Bonnie Brae Elementary,Chilled Peaches (1/2 cup (drained)),97,0,100.0
Bonnie Brae Elementary,Chilled Pineapple (1/2 cup),134,0,100.0
Bonnie Brae Elementary,Egg and American Cheese on Biscuit (Sandwich),63,0,100.0
Bonnie Brae Elementary,Graham Crackers (Package),36,0,100.0
Bonnie Brae Elementary,Mini Maple Pancakes (Package),608,0,100.0
Bonnie Brae Elementary,Natural Grape Jam (Packet),67,0,100.0
Bonnie Brae Elementary,Orange (1/4 cup),35,0,100.0
Bonnie Brae Elementary,Orange (6 Slices per 1/2 cup),311,0,100.0
Bonnie Brae Elementary,Orange Slices (3 slices per 1/4 cup),145,0,100.0
Bonnie Brae Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),188,0,100.0
Bonnie Brae Elementary,Mandarin Orange Parfait (Parfait),70,3,95.71428571428572
Bonnie Brae Elementary,Banana (Each),851,38,95.53466509988249
Bonnie Brae Elementary,Red Delicious Apple (Each - serving),1428,72,94.9579831932773
Bonnie Brae Elementary,1% White Milk (Each),2298,186,91.90600522193212
Bonnie Brae Elementary,Cream Cheese (Each),239,24,89.9581589958159
Bonnie Brae Elementary,Apple Juice (Each),2226,230,89.66756513926325
Bonnie Brae Elementary,1% Unflavored Shelf-Stable Milk (Each),233,25,89.27038626609442
Bonnie Brae Elementary,Strawberry Parfait (Parfait),46,5,89.13043478260869
Bonnie Brae Elementary,Blueberry Bread (1 square),55,6,89.0909090909091
Bonnie Brae Elementary,String Cheese (1 Stick),175,25,85.71428571428571
Bonnie Brae Elementary,Blueberry Chex Cereal (Each),614,119,80.61889250814332
Bonnie Brae Elementary,Honey Cheerios Cereal (Each),618,123,80.09708737864078
Bonnie Brae Elementary,Cinnamon Chex Cereal (Each),532,121,77.25563909774436
Bonnie Brae Elementary,Orange Tangerine Juice (Each),1185,350,70.46413502109705
Bonnie Brae Elementary,Fat Free White Milk (Each),755,314,58.41059602649007
Bonnie Brae Elementary,Fat Free Unflavored Shelf-Stable Milk (Each),150,70,53.333333333333336
Bonnie Brae Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",319,184,42.31974921630094
Braddock Elementary,1% White Milk (Each),3610,0,100.0
Braddock Elementary,Apple Juice (Each),6133,0,100.0
Braddock Elementary,Applesauce (1/2 Cup),100,0,100.0
Braddock Elementary,Bagel (Bagel),723,0,100.0
Braddock Elementary,Banana (Each),4071,0,100.0
Braddock Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",200,0,100.0
Braddock Elementary,Biscuit (Biscuit),440,0,100.0
Braddock Elementary,Blueberry Bread (1 square),346,0,100.0
Braddock Elementary,Blueberry Chex Cereal (Each),840,0,100.0
Braddock Elementary,Blueberry Muffin Top (Muffin Top),300,0,100.0
Braddock Elementary,Chicken & Biscuit Sandwich (Sandwich),544,0,100.0
Braddock Elementary,Chicken Tenders (3 tenders),337,0,100.0
Braddock Elementary,Chilled Peaches (1/2 cup (drained)),250,0,100.0
Braddock Elementary,Chilled Pineapple (1/2 cup),252,0,100.0
Braddock Elementary,Cinnamon Chex Cereal (Each),536,0,100.0
Braddock Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",472,0,100.0
Braddock Elementary,Cream Cheese (Each),50,0,100.0
Braddock Elementary,Egg and American Cheese on Biscuit (Sandwich),683,0,100.0
Braddock Elementary,Fat Free White Milk (Each),286,0,100.0
